station,date,depth_m,flag,parameter,value,depth.measurement,sitetype,datasource
200,2012-06-19,10,NA,DO_pctsat,85.5,actual,pelagic,LMP DO
200,2016-06-21,17,NA,DO_pctsat,83.8,actual,pelagic,LMP DO
200,2018-06-18,11,NA,temp_C,9.1,actual,pelagic,LMP DO
200,2018-06-18,12,NA,temp_C,8.8,actual,pelagic,LMP DO
200,1997-07-22,23,NA,DO_mgl,4.6,actual,pelagic,LMP DO
200,1991-05-28,8.5,NA,DO_pctsat,103,actual,pelagic,LMP DO
200,1991-05-28,8,NA,DO_pctsat,104,actual,pelagic,LMP DO
200,1991-05-28,7.5,NA,DO_pctsat,104,actual,pelagic,LMP DO
200,1991-08-27,11.5,NA,DO_mgl,8.3,actual,pelagic,LMP DO
200,1994-09-14,2,NA,DO_pctsat,95,actual,pelagic,LMP DO
200,1990-08-28,0.1,NA,temp_C,23.4,actual,pelagic,LMP DO
200,2018-06-18,6,NA,temp_C,19.2,actual,pelagic,LMP DO
200,1995-06-16,17,NA,temp_C,8.5,actual,pelagic,LMP DO
200,1991-08-27,9.5,NA,DO_mgl,8.1,actual,pelagic,LMP DO
200,1993-06-13,1,NA,DO_pctsat,96,actual,pelagic,LMP DO
200,2018-06-18,3,NA,temp_C,20.6,actual,pelagic,LMP DO
200,1993-07-25,11,NA,DO_pctsat,87,actual,pelagic,LMP DO
200,2017-07-18,10,NA,temp_C,13.4,actual,pelagic,LMP DO
200,2018-06-18,1,NA,temp_C,20.8,actual,pelagic,LMP DO
200,1989-07-25,6.5,NA,temp_C,19,actual,pelagic,LMP DO
200,2012-06-19,11,NA,DO_mgl,8.52,actual,pelagic,LMP DO
200,2015-06-22,11,NA,DO_pctsat,93.6,actual,pelagic,LMP DO
200,2015-06-22,10,NA,DO_pctsat,96.2,actual,pelagic,LMP DO
200,2015-06-22,8,NA,DO_pctsat,100.7,actual,pelagic,LMP DO
200,2004-08-23,16,NA,DO_mgl,6.859999999999999,actual,pelagic,LMP DO
200,2011-05-31,5,NA,temp_C,15.9,actual,pelagic,LMP DO
200,2017-06-20,3,NA,temp_C,21,actual,pelagic,LMP DO
200,1997-06-02,3,NA,DO_mgl,11.2,actual,pelagic,LMP DO
200,2015-06-22,7,NA,DO_pctsat,97.5,actual,pelagic,LMP DO
