"date","depth.m","variable","value"
1989-05-24,3.5,"COND",70.9
1989-05-24,4,"DO_mgL",10.2
1989-05-24,4,"DOsat_perc",99
1989-05-24,5,"DO_mgL",10.6
1989-05-24,5,"DOsat_perc",102
1989-05-24,5.5,"DO_mgL",10.5
1989-05-24,5.5,"DOsat_perc",101
1989-05-24,6,"DO_mgL",11
1989-05-24,6,"DOsat_perc",102
1989-05-24,6.5,"DO_mgL",11.7
1989-05-24,6.5,"DOsat_perc",104
1989-05-24,7,"DO_mgL",11.8
1989-05-24,7,"DOsat_perc",100
1989-05-24,7.5,"DO_mgL",12.1
1989-05-24,7.5,"DOsat_perc",102
1989-05-24,8,"DO_mgL",12
1989-05-24,8,"DOsat_perc",101
1989-05-24,9,"DO_mgL",12
1989-05-24,9,"DOsat_perc",101
1989-05-24,10,"TP_mgL",0.004
1989-05-24,10,"pH",5.6
1989-05-24,10,"DO_mgL",11.8
1989-05-24,10,"COND",79.6
1989-05-24,10,"DOsat_perc",98
1989-05-24,11,"DO_mgL",11.8
1989-05-24,11,"DOsat_perc",98
1989-05-24,12,"DO_mgL",11.5
1989-05-24,12,"DOsat_perc",96
1989-05-24,13,"DO_mgL",11.5
1989-05-24,13,"DOsat_perc",94
1989-05-24,13.5,"DO_mgL",11.5
1989-05-24,13.5,"DOsat_perc",94
1989-05-24,14,"DO_mgL",7.9
1989-05-24,14,"DOsat_perc",64
1989-05-24,21,"TP_mgL",0.006
1989-05-24,21,"pH",5.4
1989-05-24,21,"COND",69.6
1989-05-28,0.1,"DO_mgL",8.4
1989-05-28,0.1,"DOsat_perc",94
1989-05-28,0.5,"DO_mgL",8.4
1989-05-28,0.5,"DOsat_perc",94
1989-05-28,1,"DOsat_perc",94
1989-05-28,2,"DO_mgL",8.6
1989-05-28,2,"DOsat_perc",95
1989-05-28,2.5,"DO_mgL",8.5
1989-05-28,2.5,"DOsat_perc",94
1989-05-28,3,"DO_mgL",9.6
1989-05-28,3,"DOsat_perc",100
1989-05-28,3.5,"DO_mgL",9.8
1989-05-28,3.5,"DOsat_perc",102
1989-05-28,4,"DO_mgL",9.8
1989-05-28,4,"DOsat_perc",100
1989-05-28,4.5,"DO_mgL",9.8
1989-05-28,4.5,"DOsat_perc",98
1989-05-28,5,"DO_mgL",9.7
1989-05-28,5,"DOsat_perc",97
1989-05-28,5.5,"DO_mgL",9.8
1989-05-28,5.5,"DOsat_perc",98
1989-05-28,6,"DO_mgL",9.8
1989-05-28,6,"DOsat_perc",96
1989-05-28,7,"DO_mgL",9.7
1989-05-28,7,"DOsat_perc",95
1989-05-28,8,"DO_mgL",9.6
1989-05-28,8,"DOsat_perc",90
1989-05-28,9,"DO_mgL",10
1989-05-28,9,"DOsat_perc",93
